Date,Close,High,Low,Open,Volume,Return,Target_1d,Return_5d_forward,Target_5d,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_4,ret_lag_5,ret_ma_5,ret_std_5,ret_ma_10,ret_std_10,sentiment_mean,n_news,n_news_filled,has_news,sentiment_filled
2014-06-12,1930.1099853515625,1943.3499755859373,1925.780029296875,1943.3499755859373,3040480000,-0.0070888935037649,1,0.0152167468901198,1,-0.0035370410325545,-0.0002459836229459,0.0009387712266117,0.0046277587012986,0.0065252795935566,-0.001061077646271,0.0044579028553998,0.0005303842394317,0.0038375092473139,0.0,4.0,4.0,1,0.0
2014-06-13,1936.1600341796875,1937.300048828125,1927.68994140625,1930.800048828125,2598230000,0.0031345616954687,1,0.0137953270731654,1,-0.0070888935037649,-0.0035370410325545,-0.0002459836229459,0.0009387712266117,0.0046277587012986,-0.0013597170474369,0.0040089336022691,0.0006594726158621,0.0039076656404996,0.0,3.0,3.0,1,0.0
2014-06-16,1937.780029296875,1941.1500244140625,1930.9100341796875,1934.8399658203125,2926130000,0.0008367051734305,1,0.0128136092225581,1,0.0031345616954687,-0.0070888935037649,-0.0035370410325545,-0.0002459836229459,0.0009387712266117,-0.0013801302580732,0.0039945379344847,0.0006703605231023,0.0039080289225695,0.4446865022182464,4.0,4.0,1,0.4446865022182464
2014-06-17,1941.989990234375,1943.68994140625,1933.550048828125,1937.1500244140625,2971260000,0.0021725690603942,1,0.0041143313171303,1,0.0008367051734305,0.0031345616954687,-0.0070888935037649,-0.0035370410325545,-0.0002459836229459,-0.0008964197214051,0.0043008963507971,0.0009255390840174,0.0039151850817184,0.0,2.0,2.0,1,0.0
2014-06-18,1956.97998046875,1957.739990234375,1939.2900390625,1942.72998046875,3065220000,0.0077188813071924,1,0.0013030530989459,1,0.0021725690603942,0.0008367051734305,0.0031345616954687,-0.0070888935037649,-0.0035370410325545,0.0013547647465442,0.0053828944593493,0.0015082608598687,0.0044693837931772,0.7739230275154114,5.0,5.0,1,0.7739230275154114
2014-06-19,1959.47998046875,1959.8699951171875,1952.260009765625,1957.5,2952150000,0.0012774785766593,1,-0.0011533722151549,0,0.0077188813071924,0.0021725690603942,0.0008367051734305,0.0031345616954687,-0.0070888935037649,0.003028039162629,0.0027664771455949,0.000983480758179,0.004108356867454,-0.1155388116836547,5.0,5.0,1,-0.1155388116836547
2014-06-20,1962.8699951171875,1963.9100341796875,1959.1700439453125,1960.449951171875,4336240000,0.0017300583227324,0,-0.0009730823663507,0,0.0012774785766593,0.0077188813071924,0.0021725690603942,0.0008367051734305,0.0031345616954687,0.0027471384880818,0.002823670680795,0.0006937107203224,0.0039206620038798,8.424123128255209e-06,6.0,6.0,1,8.424123128255209e-06
2014-06-23,1962.6099853515625,1963.739990234375,1958.8900146484373,1962.9200439453125,2717630000,-0.0001324640787579,0,-0.0012126733791105,0,0.0017300583227324,0.0012774785766593,0.0077188813071924,0.0021725690603942,0.0008367051734305,0.002553304637644,0.0030144220897076,0.0005865871897854,0.0039278502825188,-0.3838759064674377,2.0,2.0,1,-0.3838759064674377
2014-06-24,1949.97998046875,1968.1700439453125,1948.3399658203125,1961.969970703125,3089700000,-0.0064353106205918,1,0.0119693361234929,1,-0.0001324640787579,0.0017300583227324,0.0012774785766593,0.0077188813071924,0.0021725690603942,0.0008317287014468,0.0050541588889748,-3.234550997915919e-05,0.004517068474252,0.2479228377342224,4.0,4.0,1,0.2479228377342224
2014-06-25,1959.530029296875,1960.8299560546875,1947.489990234375,1949.27001953125,3106710000,0.0048975112174378,0,0.0077008086605987,1,-0.0064353106205918,-0.0001324640787579,0.0017300583227324,0.0012774785766593,0.0077188813071924,0.0002674546834959,0.0041738405250994,0.00081110971502,0.0045770150133374,0.0,3.0,3.0,1,0.0
2014-06-26,1957.219970703125,1959.8900146484373,1944.68994140625,1959.8900146484373,2778840000,-0.0011788839972913,1,0.0144183950325149,1,0.0048975112174378,-0.0064353106205918,-0.0001324640787579,0.0017300583227324,0.0012774785766593,-0.0002238178312941,0.004169795642825,0.0014021106656674,0.0037505377506642,0.0,2.0,2.0,1,0.0
2014-06-27,1960.9599609375,1961.469970703125,1952.1800537109373,1956.56005859375,4290590000,0.001910868625069,0,0.0085111699417785,1,-0.0011788839972913,0.0048975112174378,-0.0064353106205918,-0.0001324640787579,0.0017300583227324,-0.0001876557708268,0.0041917030721506,0.0012797413586274,0.0037074475554836,0.0,2.0,2.0,1,0.0
2014-06-30,1960.22998046875,1964.239990234375,1958.219970703125,1960.7900390625,3037350000,-0.0003722566922789,1,0.0017752919317752,1,0.001910868625069,-0.0011788839972913,0.0048975112174378,-0.0064353106205918,-0.0001324640787579,-0.000235614293531,0.0041922854703054,0.0011588451720565,0.0037430404161068,0.9996917247772216,1.0,1.0,1,0.9996917247772216
2014-07-01,1973.3199462890625,1978.5799560546875,1962.2900390625,1962.2900390625,3188240000,0.0066777704405798,1,-0.0002483075465266,0,-0.0003722566922789,0.001910868625069,-0.0011788839972913,0.0048975112174378,-0.0064353106205918,0.0023870019187032,0.0033641159614686,0.001609365310075,0.004129761629651,-0.4496036767959595,4.0,4.0,1,-0.4496036767959595
2014-07-02,1974.6199951171875,1976.6700439453125,1972.5799560546875,1973.06005859375,2851480000,0.0006588129971369,1,-0.0050338502754097,0,0.0066777704405798,-0.0003722566922789,0.001910868625069,-0.0011788839972913,0.0048975112174378,0.0015392622746431,0.00309676332232,0.0009033584790695,0.0035290427972905,0.1999997854232788,5.0,5.0,1,0.1999997854232788
2014-07-03,1985.43994140625,1985.5899658203125,1975.8800048828125,1975.8800048828125,1998090000,0.0054795081158998,0,-0.0090005216196721,0,0.0006588129971369,0.0066777704405798,-0.0003722566922789,0.001910868625069,-0.0011788839972913,0.0028709406972813,0.003067171063259,0.0013235614329935,0.0038169615899495,0.3914198637008667,5.0,5.0,1,0.3914198637008667
2014-07-07,1977.6500244140625,1984.219970703125,1974.8800048828125,1984.219970703125,2681260000,-0.0039235218501094,0,-0.0002781325418222,0,0.0054795081158998,0.0006588129971369,0.0066777704405798,-0.0003722566922789,0.001910868625069,0.0017040626022456,0.0043607658102063,0.0007582034157093,0.0041538885181869,0.0,1.0,1.0,1,0.0
2014-07-08,1963.7099609375,1976.3900146484373,1959.4599609375,1976.3900146484373,3302430000,-0.0070488020147511,1,0.0048734632658309,1,-0.0039235218501094,0.0054795081158998,0.0006588129971369,0.0066777704405798,-0.0003722566922789,0.0003687535377512,0.0059044771044503,6.656962211007978e-05,0.0048381077631972,-0.1999151349067688,5.0,5.0,1,-0.1999151349067688
2014-07-09,1972.8299560546875,1974.1500244140625,1965.0999755859373,1965.0999755859373,2858800000,0.0046442678901692,0,0.004430179198948,1,-0.0070488020147511,-0.0039235218501094,0.0054795081158998,0.0006588129971369,0.0066777704405798,-3.794697233090449e-05,0.005410653881024,0.0011745274731861,0.0044355977838408,-0.0550564229488372,2.0,2.0,1,-0.0550564229488372
2014-07-10,1964.6800537109373,1969.8399658203125,1952.8599853515625,1966.6700439453125,3165690000,-0.0041310718740548,1,-0.0033389958743454,0,0.0046442678901692,-0.0070488020147511,-0.0039235218501094,0.0054795081158998,0.0006588129971369,-0.0009959239465692,0.0056740703923895,0.0002716691640369,0.0045118115911905,-0.2679492036501567,3.0,3.0,1,-0.2679492036501567
2014-07-11,1967.5699462890625,1968.6700439453125,1959.6300048828125,1965.760009765625,2684630000,0.0014709227452411,1,0.0054127805896553,1,-0.0041310718740548,0.0046442678901692,-0.0070488020147511,-0.0039235218501094,0.0054795081158998,-0.0017976410207009,0.0047360495178376,0.0005366498382901,0.0044949348235359,0.0,2.0,2.0,1,0.0
2014-07-14,1977.0999755859373,1979.8499755859373,1969.8599853515625,1969.8599853515625,2744920000,0.0048435529902501,0,-0.0017550810510209,0,0.0014709227452411,-0.0041310718740548,0.0046442678901692,-0.0070488020147511,-0.0039235218501094,-4.422605262905943e-05,0.0053370035713074,0.0008299182748082,0.0046861595901402,0.1791380763053894,5.0,5.0,1,0.1791380763053894
2014-07-15,1973.280029296875,1982.52001953125,1965.3399658203125,1977.3599853515625,3328740000,-0.0019320956634629,1,0.0051943970687486,1,0.0048435529902501,0.0014709227452411,-0.0041310718740548,0.0046442678901692,-0.0070488020147511,0.0009791152176285,0.0039748666317847,0.0006739343776898,0.0047560606004979,0.1332361176609993,8.0,8.0,1,0.1332361176609993
2014-07-16,1981.5699462890625,1983.93994140625,1975.6700439453125,1976.3499755859373,3390950000,0.0042010849292086,0,0.0027453300282183,1,-0.0019320956634629,0.0048435529902501,0.0014709227452411,-0.0041310718740548,0.0046442678901692,0.0008904786254364,0.0038764262357174,0.0004262658265527,0.0044642077603893,0.0,4.0,4.0,1,0.0
2014-07-17,1958.1199951171875,1981.800048828125,1955.5899658203125,1979.75,3381680000,-0.0118340264575521,1,0.0152493133342297,1,0.0042010849292086,-0.0019320956634629,0.0048435529902501,0.0014709227452411,-0.0041310718740548,-0.000650112291263,0.0067995713057664,-0.0008230181189161,0.0059068316689928,0.1580820322036743,5.0,5.0,1,0.1580820322036743
2014-07-18,1978.219970703125,1979.9100341796875,1960.8199462890625,1961.5400390625,3106060000,0.0102649355688411,0,6.065812647970681e-05,1,-0.0118340264575521,0.0042010849292086,-0.0019320956634629,0.0048435529902501,0.0014709227452411,0.0011086902734569,0.0084277699841471,-0.000344475373622,0.0066244227567634,0.0,1.0,1.0,1,0.0
2014-07-21,1973.6300048828125,1976.9300537109373,1965.77001953125,1976.9300537109373,2611160000,-0.0023202504717819,1,0.0026752883183838,1,0.0102649355688411,-0.0118340264575521,0.0042010849292086,-0.0019320956634629,0.0048435529902501,-0.0003240704189494,0.0082409593909828,-0.0001841482357892,0.006547127083176,0.3908113598823547,5.0,5.0,1,0.3908113598823547
2014-07-22,1983.530029296875,1986.239990234375,1975.6500244140625,1975.6500244140625,2890480000,0.0050161501343055,1,-0.0068464192245246,0,-0.0023202504717819,0.0102649355688411,-0.0118340264575521,0.0042010849292086,-0.0019320956634629,0.0010655787406042,0.008484253549554,0.0010223469791164,0.006246307193378,0.3999987363815308,5.0,5.0,1,0.3999987363815308
2014-07-23,1987.010009765625,1989.22998046875,1982.43994140625,1985.3199462890625,2869720000,0.0017544380056517,1,-0.0085254041969122,0,0.0050161501343055,-0.0023202504717819,0.0102649355688411,-0.0118340264575521,0.0042010849292086,0.0005762493558928,0.0083273066619261,0.0007333639906646,0.0061258080328274,0.0,1.0,1.0,1,0.0
